company,priceHour,priceDay,priceWeek,priceMonth
JBHT,201.97,201.56,200.73,1
JKHY,164.82,168.54,168.11,1
JNJ,166.16,167.32,167.64,1
JNOS,1.0,1.0,1.0,1
JNOSP,1.0,1.0,1.0,1
JNPR,33.1,33.75,34.42,1
JPM,147.01,149.56,157.17,1
K,66.54,66.79,67.56,1
KAZT,1.0,1.0,1.0,1
KAZTP,1.0,1.0,1.0,1
KBSB,1.0,1.0,1.0,1
KCHE,1.0,1.0,1.0,1
KCHEP,1.0,1.0,1.0,1
KD,16.8,17.01,17.9,1
KDP,38.41,38.53,39.11,1
KEY,25.2,25.94,26.83,1
KEYS,174.78,182.02,185.74,1
KGKC,1.0,1.0,1.0,1
KGKCP,1.0,1.0,1.0,1
KHC,37.25,37.42,38.06,1
KLAC,382.47,399.42,438.81,1
KLSB,1.0,1.0,1.0,1
KMAZ,1.0,1.0,1.0,1
KMB,143.35,143.07,143.17,1
KMEZ,1.0,1.0,1.0,1
KMI,17.45,17.5,17.77,1
KMTZ,1.0,1.0,1.0,1
KMX,106.63,108.71,112.84,1
KO,60.89,61.05,61.14,1
KOGK,1.0,1.0,1.0,1
KR,47.13,48.56,49.2,1
KRKN,1.0,1.0,1.0,1
KRKNP,1.0,1.0,1.0,1
KRKO,1.0,1.0,1.0,1
KRKOP,1.0,1.0,1.0,1
KROT,1.0,1.0,1.0,1
KROTP,1.0,1.0,1.0,1
KRSB,1.0,1.0,1.0,1
KRSBP,1.0,1.0,1.0,1
KSGR,1.0,1.0,1.0,1
KSU,293.94,293.94,1.0,1
KTSB,1.0,1.0,1.0,1
KTSBP,1.0,1.0,1.0,1
KUBE,1.0,1.0,1.0,1
KUZB,1.0,1.0,1.0,1
KZMS,1.0,1.0,1.0,1
KZOS,1.0,1.0,1.0,1
KZOSP,1.0,1.0,1.0,1
L,59.0,59.87,60.69,1
LAZR,13.75,13.72,17.21,1
LDOS,92.55,93.95,89.57,1
LEG,39.45,40.64,39.59,1
LEN,96.8,98.74,112.65,1
LENT,1.0,1.0,1.0,1
LH,273.18,273.97,299.1,1
LHX,224.59,229.04,223.32,1
LIFE,6.26,6.64,7.94,1
LKOH,1.0,1.0,1.0,1
LKQ,54.28,55.06,57.64,1
LLY,242.79,246.79,273.79,1
LMT,376.12,378.01,347.59,1
LNC,69.13,71.99,67.7,1
LNT,60.12,59.44,59.76,1
LNZL,1.0,1.0,1.0,1
LNZLP,1.0,1.0,1.0,1
LOW,226.84,236.86,250.04,1
LPSB,1.0,1.0,1.0,1
LRCX,629.6,650.73,696.45,1
LSNG,1.0,1.0,1.0,1
LSNGP,1.0,1.0,1.0,1
LSRG,1.0,1.0,1.0,1
LTHM,22.53,23.54,24.88,1
LUMN,12.06,12.13,12.81,1
LUV,44.13,44.64,41.76,1
LVHK,1.0,1.0,1.0,1
LVS,44.67,43.95,38.04,1
LW,65.46,67.5,61.59,1
LYFT,37.04,37.52,44.06,1
LYV,111.1,112.91,116.87,1
M,23.37,25.68,25.21,1
MA,365.17,363.03,361.26,1
MAGE,1.0,1.0,1.0,1
MAGEP,1.0,1.0,1.0,1
MAGN,1.0,1.0,1.0,1
MAR,159.13,155.07,164.21,1
MAS,64.89,66.21,66.8,1
MCD,257.06,256.8,265.84,1
MCHP,74.9,77.86,87.08,1
MCK,248.98,253.25,299.97,1
MCO,346.65,350.75,361.02,1
MDLZ,69.07,67.78,64.95,1
MET,66.23,67.1,67.89,1
MFGS,1.0,1.0,1.0,1
MFGSP,1.0,1.0,1.0,1
MFON,1.0,1.0,1.0,1
MGM,41.9,42.32,45.77,1
MGNT,1.0,1.0,1.0,1
MGNZ,1.0,1.0,1.0,1
MGTS,1.0,1.0,1.0,1
MGTSP,1.0,1.0,1.0,1
MHK,159.44,164.2,171.45,1
MISB,1.0,1.0,1.0,1
MISBP,1.0,1.0,1.0,1
MKC,95.95,96.28,93.52,1
MKTX,368.82,373.11,411.8,1
MLM,388.76,393.01,415.85,1
MMC,158.88,159.51,166.0,1
MMM,175.22,178.84,175.25,1
MNST,86.83,87.41,93.8,1
MO,50.39,50.34,46.86,1
MOEX,1.0,1.0,1.0,1
MORI,1.0,1.0,1.0,1
MOS,39.96,42.14,39.25,1
MPC,71.1,73.88,63.55,1
MPWR,414.92,421.59,492.49,1
MRK,79.94,81.88,75.88,1
MRKC,1.0,1.0,1.0,1
MRKK,1.0,1.0,1.0,1
MRKP,1.0,1.0,1.0,1
MRKS,1.0,1.0,1.0,1
MRKU,1.0,1.0,1.0,1
MRKV,1.0,1.0,1.0,1
MRKY,1.0,1.0,1.0,1
MRKZ,1.0,1.0,1.0,1
MRNA,162.14,175.86,247.53,1
MRO,18.32,19.16,16.11,1
MRSB,1.0,1.0,1.0,1
MRVL,74.63,77.5,88.55,1
MS,98.78,96.15,99.27,1
MSCI,513.74,521.08,540.34,1
MSFT,302.13,308.49,334.5,1
MSI,240.8,246.7,254.21,1
MSNG,1.0,1.0,1.0,1
MSRS,1.0,1.0,1.0,1
MSTR,416.5,474.15,574.7,1
MSTT,1.0,1.0,1.0,1
MTB,161.65,177.55,151.17,1
MTD,1501.48,1479.84,1622.73,1
MTLR,1.0,1.0,1.0,1
MTLRP,1.0,1.0,1.0,1
MTSS,1.0,1.0,1.0,1
